San Francisco,California,37.7749295,-122.4194155
Aliso Viejo,California,33.5676842,-117.7256083
Rapid City,South Dakota,44.0805434,-103.2310149
Coon Rapids,Minnesota,45.1732394,-93.3030063
Malden,Massachusetts,42.4250964,-71.066163
Noblesville,Indiana,40.0455917,-86.0085955
Delray Beach,Florida,26.4614625,-80.0728201
Wellington,Florida,26.6617635,-80.2683571
Florissant,Missouri,38.789217,-90.322614
Youngstown,Ohio,41.0997803,-80.6495194
Newport Beach,California,33.6189101,-117.9289469
Bloomington,Illinois,40.4842027,-88.9936873
Menifee,California,33.6971468,-117.185294
Lynchburg,Virginia,37.4137536,-79.1422464
Loveland,Colorado,40.3977612,-105.0749801
St. Joseph,Missouri,39.7674578,-94.846681
Folsom,California,38.6779591,-121.1760583
Decatur,Illinois,39.8403147,-88.9548001
Napa,California,38.2975381,-122.286865
Allen,Texas,33.1031744,-96.6705503
Goose Creek,South Carolina,32.9810059,-80.0325867
Carpentersville,Illinois,42.1211364,-88.2578582
Bell Gardens,California,33.9652918,-118.1514588
Woonsocket,Rhode Island,42.0028761,-71.5147839
Maplewood,Minnesota,44.9530215,-92.9952153
Annapolis,Maryland,38.9784453,-76.4921829
Madison,Alabama,34.6992579,-86.7483318
Riverton,Utah,40.521893,-111.9391023
Providence,Rhode Island,41.8239891,-71.4128343
San Mateo,California,37.5629917,-122.3255254
